timestep,mean_reward,mean_ep_length
69228,180.0000,476
69308,30.0000,293
69328,250.0000,503
69332,215.0000,511
69672,360.0000,499
69784,110.0000,499
69856,70.0000,558
70120,230.0000,848
70160,160.0000,526
70376,230.0000,647
70652,375.0000,818
70684,280.0000,619
71048,500.0000,927
71048,220.0000,723
71104,80.0000,474
71356,80.0000,292
71364,300.0000,752
71388,70.0000,384
71644,215.0000,634
71660,105.0000,347
71724,135.0000,390
71932,235.0000,623
72016,45.0000,430
72252,245.0000,635
72268,40.0000,289
72432,335.0000,756
72588,290.0000,699
72824,75.0000,296
72864,170.0000,493
72948,215.0000,719
73068,465.0000,873
73424,85.0000,606
73552,260.0000,652
73640,320.0000,866
73844,430.0000,825
74048,280.0000,667
74064,175.0000,468
74276,295.0000,771
74356,110.0000,362
74368,105.0000,357
74416,260.0000,626
74704,115.0000,487
74872,190.0000,499
74996,105.0000,324
75032,275.0000,711
75244,250.0000,428
75420,250.0000,437
75436,215.0000,1103
75856,240.0000,653
75876,205.0000,512
75904,170.0000,520
75976,625.0000,1024
76320,180.0000,499
76324,210.0000,511
76568,185.0000,701
76764,260.0000,828
76976,280.0000,707
77060,200.0000,550
77216,235.0000,484
77424,250.0000,503
77528,600.0000,1245
77656,140.0000,494
77896,260.0000,869
78088,160.0000,619
78132,30.0000,285
78140,95.0000,522
78196,255.0000,831
78640,230.0000,594
78768,295.0000,674
78848,290.0000,751
79068,435.0000,918
79352,435.0000,752
79652,235.0000,931
79716,325.0000,919
79808,250.0000,794
79880,65.0000,266
80036,265.0000,731
80364,115.0000,532
80376,175.0000,699
80684,235.0000,931
80828,165.0000,502
80932,360.0000,933
81004,315.0000,685
81292,105.0000,512
81360,105.0000,474
81452,365.0000,797
81760,135.0000,809
81780,135.0000,526
81856,85.0000,455
82240,100.0000,536
82320,155.0000,509
82524,300.0000,798
82672,775.0000,1336
82804,185.0000,620
82932,285.0000,671
82976,175.0000,509
83148,205.0000,516
83256,170.0000,494
83412,140.0000,526
83424,80.0000,495
83684,210.0000,479
83708,145.0000,607
83800,85.0000,410
84028,110.0000,383
84036,110.0000,382
84108,190.0000,745
84568,230.0000,583
84900,225.0000,825
84928,325.0000,947
85124,625.0000,1382
85236,145.0000,703
85340,155.0000,481
85528,270.0000,650
85660,170.0000,458
85716,295.0000,638
85892,70.0000,290
85900,245.0000,604
86240,105.0000,409
86476,305.0000,802
86488,525.0000,1019
86568,245.0000,702
86832,415.0000,644
86900,110.0000,474
86916,135.0000,477
87344,540.0000,817
87588,240.0000,723
87680,420.0000,837
87792,510.0000,1005
87892,35.0000,264
87908,245.0000,604
88080,265.0000,522
88500,275.0000,647
88504,260.0000,641
88540,150.0000,497
88824,105.0000,358
88836,130.0000,385
89028,185.0000,530
89148,520.0000,1393
89292,210.0000,505
89436,245.0000,652
89496,190.0000,518
89852,245.0000,599
89992,170.0000,536
90192,370.0000,806
90212,425.0000,1103
90536,215.0000,598
90556,285.0000,753
90668,140.0000,514
90852,200.0000,685
90932,75.0000,317
91172,315.0000,669
91412,75.0000,281
91440,445.0000,947
91768,355.0000,886
91892,575.0000,1076
92112,285.0000,726
92116,240.0000,740
92372,105.0000,301
92380,255.0000,658
92456,230.0000,612
92764,295.0000,694
92900,155.0000,479
93192,285.0000,851
93224,555.0000,899
93240,165.0000,522
93656,105.0000,452
93728,290.0000,870
93784,230.0000,629
94008,440.0000,819
94020,120.0000,401
94196,225.0000,513
94456,225.0000,496
94484,335.0000,755
94620,260.0000,651
94860,135.0000,448
94888,105.0000,449
94912,230.0000,772
95184,240.0000,610
95548,255.0000,722
95596,205.0000,716
95620,320.0000,764
95672,195.0000,534
96012,190.0000,526
96176,260.0000,625
96276,280.0000,706
96464,215.0000,489
96712,545.0000,1071
96816,215.0000,594
97016,390.0000,892
97260,180.0000,501
97288,105.0000,317
97296,195.0000,865
97448,385.0000,790
97740,220.0000,496
98144,410.0000,934
98280,370.0000,867
98476,540.0000,1240
98608,525.0000,922
98688,235.0000,577
98912,170.0000,687
99052,50.0000,396
99056,240.0000,628
99220,515.0000,671
99444,230.0000,593
99448,80.0000,286
99824,485.0000,816
99832,105.0000,436
99904,375.0000,886
